benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,k,widths
SPHERICAL,Matryoshka_3,0,8.05726,5.00264,0,0.8994252460058461,0.8629760940379891,0.7022178769111633,0.9814814814814815,0.6829812526702881,0.7374193072319031,0.6771848797798157,0.9952293634414673,Matryoshka,5,3-level
SPHERICAL,Matryoshka_4,0,8.04026,5.97124,0,0.8960585109311497,0.8654942090335872,0.6866594552993774,0.9629629629629629,0.5962336659431458,0.7491884827613831,0.6317009329795837,0.9938793182373047,Matryoshka,6,3-level
SPHERICAL,Matryoshka_5,0,8.07052,7.00635,0,0.8934757603278491,0.8659908443844164,0.669590413570404,0.9583333333333334,0.5381565093994141,0.7630668878555298,0.5973496437072754,0.9924619793891907,Matryoshka,7,3-level
SPHERICAL,Matryoshka_6,0,8.05677,7.97954,0,0.8930739472920357,0.8690333443348652,0.6673053503036499,0.9537037037037037,0.4741753935813904,0.7720028162002563,0.5574092268943787,0.99107426404953,Matryoshka,8,3-level
SPHERICAL,Matryoshka_7,0,8.05816,9.00343,0,0.8926158343425649,0.8701122527809642,0.6620084047317505,0.9614197530864198,0.43345892429351807,0.7775807976722717,0.5268797874450684,0.9895655512809753,Matryoshka,9,3-level
SPHERICAL,Matryoshka_8,0,8.07417,10.00192,0,0.8888015593561368,0.8699550805262428,0.6511827111244202,0.9475308641975309,0.4059827923774719,0.7851601243019104,0.5048767328262329,0.9881190657615662,Matryoshka,10,3-level
SPHERICAL,Matryoshka_9,0,8.06604,11.01495,0,0.8851576887661142,0.8702756541403469,0.6442679762840271,0.9459876543209876,0.381389856338501,0.7853838205337524,0.48195788264274597,0.9865532517433167,Matryoshka,11,3-level
TORUS,Matryoshka_0,0,8.0016,2.00302,100,0.8186998932222378,0.7742586312847582,0.6735033392906189,0.9120370370370371,0.7782851457595825,0.450395405292511,0.5573622584342957,0.99629145860672,Matryoshka,2,3-level
TORUS,Matryoshka_1,0,7.9912,2.98514,0,0.8865190847187212,0.8364376672839671,0.7574751377105713,1.0,0.8764733076095581,0.6186920404434204,0.7009248733520508,0.9968560338020325,Matryoshka,3,3-level
TORUS,Matryoshka_2,0,7.99836,3.99413,0,0.8962789001080238,0.8494563067908412,0.7300258874893188,0.9969135802469136,0.7765589356422424,0.7000826001167297,0.7063074707984924,0.9963047504425049,Matryoshka,4,3-level
TORUS,Matryoshka_3,0,7.99042,4.98897,0,0.8927652439634305,0.8549557185129153,0.7100005745887756,0.9891975308641975,0.6819952130317688,0.7432058453559875,0.6798328161239624,0.9953011274337769,Matryoshka,5,3-level
TORUS,Matryoshka_4,0,8.00159,5.99114,0,0.8892653530706142,0.8580873859132101,0.6994746327400208,0.9799382716049383,0.5998630523681641,0.7578651905059814,0.6369255781173706,0.9939362406730652,Matryoshka,6,3-level
TORUS,Matryoshka_5,0,7.99218,7.01115,0,0.8869367341835459,0.8593857341575128,0.6860644817352295,0.9691358024691358,0.5285821557044983,0.7595055103302002,0.5897047519683838,0.9923839569091797,Matryoshka,7,3-level
TORUS,Matryoshka_6,0,8.00043,7.99716,0,0.8824781462848684,0.8592872762485304,0.6808866262435913,0.9722222222222222,0.4879513084888458,0.7730588912963867,0.5636914968490601,0.9910269975662231,Matryoshka,8,3-level
TORUS,Matryoshka_7,0,8.00324,9.04702,0,0.8824088632839852,0.8609437146332375,0.6714248061180115,0.9567901234567902,0.43429648876190186,0.7703506946563721,0.5234725475311279,0.989375650882721,Matryoshka,9,3-level
TORUS,Matryoshka_8,0,8.00048,10.03512,0,0.8822819714375738,0.8623693936947879,0.6627907752990723,0.9629629629629629,0.4052208364009857,0.7833724617958069,0.5019286870956421,0.9880133867263794,Matryoshka,10,3-level
