benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,l1_coefficient
HIERARCHICAL_PAIRS,Standard_7,0,8.01373,7.58905,0,1.0059993281932795,0.5459064596562446,0.5577337145805359,0.43364197530864196,0.9414765238761902,0.4367038607597351,0.5511807203292847,0.9662497043609619,Standard,0.65
HIERARCHICAL_PAIRS,Standard_8,0,8.00013,6.24551,0,1.0096090314589483,0.5345436076929976,0.5909528136253357,0.45987654320987653,0.9546881914138794,0.41736385226249695,0.5393231511116028,0.968770444393158,Standard,0.72
HIERARCHICAL_PAIRS,Standard_9,0,8.02557,5.08966,0,0.5217156227393296,0.5261688348088565,0.6502638459205627,0.5108024691358025,0.9577531218528748,0.41661468148231506,0.5469956994056702,0.975197970867157,Standard,0.8
POWER_LAW_DIGRAPH,Standard_0,0,8.00091,14.3169,0,0.6677649920056216,0.7174195642602604,0.9297372102737427,1.0,0.3166755437850952,0.8625991940498352,0.45696184039115906,0.9837254881858826,Standard,0.22
POWER_LAW_DIGRAPH,Standard_1,0,7.95076,12.36991,0,0.6519035104485219,0.7079350392421684,0.930990993976593,1.0,0.3590911626815796,0.856579601764679,0.4993145763874054,0.9865802526473999,Standard,0.24
POWER_LAW_DIGRAPH,Standard_10,0,7.94614,4.76759,0,0.5059112680389519,0.5909830091563877,0.9526561498641968,0.9953703703703703,0.8109978437423706,0.7769757509231567,0.7887310981750488,0.9969053864479065,Standard,0.56
POWER_LAW_DIGRAPH,Standard_11,0,7.96678,4.34242,0,0.4729015792743792,0.5625479914862392,0.9518381953239441,0.9969135802469136,0.8563493490219116,0.7602599263191223,0.8013005256652832,0.9972177147865295,Standard,0.63
POWER_LAW_DIGRAPH,Standard_12,0,7.96984,3.92186,0,0.4316223774464855,0.5337628700756776,0.949921727180481,0.9922839506172839,0.9124671816825867,0.7320811152458191,0.8091516494750977,0.9974379539489746,Standard,0.72
POWER_LAW_DIGRAPH,Standard_13,0,7.96275,3.50557,0,0.39502956214415935,0.48800891076196296,0.9445750117301941,0.9891975308641975,0.9440562129020691,0.6983902454376221,0.7989010214805603,0.9974204897880554,Standard,0.82
POWER_LAW_DIGRAPH,Standard_14,0,7.94617,3.11992,0,0.33703678604737686,0.43779910960945223,0.9363763332366943,0.9876543209876543,0.9655652642250061,0.6479716897010803,0.7723759412765503,0.9972174167633057,Standard,0.95
